protocol,field,true_value,shuffled_value,expected_difference
random20,cfg,"""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/configs/m2_scratch_random20_true.yaml""","""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/configs/m2_scratch_random20_shuffled.yaml""",True
random20,dynamics_time_manifest_train,"""""","""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/manifests/random20_train_shuffled_dt_seed42.json""",True
random20,dynamics_time_manifest_val,"""""","""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/manifests/random20_val_shuffled_dt_seed42.json""",True
random20,dynamics_time_mode,"""true""","""shuffled""",True
random20,log_dir,"""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/runs/random20_true""","""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/runs/random20_shuffled""",True
random20,tag,"""random20_true""","""random20_shuffled""",True
random20,train_dynamics_time_mode,"""true""","""shuffled""",True
random20,val_dynamics_time_mode,"""true""","""shuffled""",True
gap1124,cfg,"""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/configs/m2_scratch_gap1124_true.yaml""","""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/configs/m2_scratch_gap1124_shuffled.yaml""",True
gap1124,dynamics_time_manifest_train,"""""","""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/manifests/gap1124_train_shuffled_dt_seed42.json""",True
gap1124,dynamics_time_manifest_val,"""""","""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/manifests/gap1124_val_shuffled_dt_seed42.json""",True
gap1124,dynamics_time_mode,"""true""","""shuffled""",True
gap1124,log_dir,"""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/runs/gap1124_true""","""/home/lishengjie/study/lcyu/CT-SeqTrack/output/m2_scratch_r20_gap_true_shuffled_473738f_20260724_004339/runs/gap1124_shuffled""",True
gap1124,tag,"""gap1124_true""","""gap1124_shuffled""",True
gap1124,train_dynamics_time_mode,"""true""","""shuffled""",True
gap1124,val_dynamics_time_mode,"""true""","""shuffled""",True
